ID,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Expected Date,Groups With Access Code,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
1,LPG,Irish Propane,70 Katherine St,Buffalo,NY,14210,E,,Public,,,,,,,,,,GPS,42.8594,-78.858933,,,FALSE,,
2,ELEC,Latitudes,2401 Highway 528,Rio Rancho,NM,87124,E,,Public,,,,,2,,,,,200-8,35.21843,-106.663,,,,,J1772
3,ELEC,American Bush - Public Access,2630 S 300 W,Salt Lake City,UT,84115,E,,Public,,,,,2,,,,,200-8,40.7144199,-111.900105,,,,,J1772
4,ELEC,CITY OF SEATTLE,600 Pine St,Seattle,WA,98101,E,,Public,,,,,7,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,47.6125141,-122.3354092,,,,,J1772
5,ELEC,Two Embarcadero Center,Two Embarcadero Center A Level Parking,San Franciso,CA,94111,E,,Public - Card key at all times,,,,,2,,,SemaCharge Network,http://www.semacharge.com/,GPS,37.7950272,-122.3985003,,,,,J1772
6,ELEC,PARKWAY,721 Arch St,Philadelphia,PA,19106,E,,Public,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.9528732,-75.1528625,,,,,J1772
7,ELEC,General Electric - Dallas Office,2508 Highlander Way,Carrollton,TX,75006,E,,Private,,,,,4,,,,,GPS,32.9838,-96.845317,,,,,J1772
8,ELEC,Municipal Lot,38767 SE River St,Snoqualmie,WA,98065,E,,Public,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,47.527427,-121.823532,,,,,J1772
9,LPG,U-Haul,15173 Brookpark Rd,Brookpark,OH,44142,E,,Public,,,,,,,,,,200-8,41.418059,-81.802714,,,TRUE,,
10,ELEC,GATEWAY TECH B,380 McCanna Pkwy,Burlington,WI,53105,E,,Public,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.6727905,-88.2556,,,,,NEMA520 J1772
11,ELEC,NATIONAL GRID,104-160 Blackstone St,Providence,RI,2905,E,,Public,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8096008,-71.4088529,,,,,J1772
12,ELEC,San Francisco General Hospital Garage,2500 24th St,San Francisco,CA,94110,E,,Public,,,,,3,,,,,200-8,37.753135,-122.404374,,,,,J1772
13,ELEC,Amazon - Obidos/Rufus,550 Terry Ave N,Seattle,WA,98109,E,,Public,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,47.62395,-122.337078,,,,,J1772
14,ELEC,Classic Cars Nissan,1513 Route 38,Hainesport,NJ,8036,E,,Private,,,,,1,,,,,200-8,39.98225,-74.808612,,,,,J1772
15,LPG,U-Haul,2722 N Watkins,Memphis,TN,38127,E,,Public,,,,,,,,,,200-8,35.199728,-90.007121,,,TRUE,,
16,ELEC,"Walgreens - Clinton, UT #2519",1962 W 1800 N,Clinton,UT,84041,E,,Public - Card key at all times,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,41.1398688,-112.0632572,,,,,J1772
17,ELEC,MERCER ISLAND,8236 SE 24TH STREET,Mercer Island,WA,98040,E,,Public,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,47.5900154,-122.2285461,,,,,NEMA520 J1772
18,ELEC,NATIONAL GRID,997 Loudon Rd,Cohoes,NY,12047,E,,Public,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.770945,-73.753012,,,,,J1772
19,LPG,AmeriGas,1706 Fairgrounds Dr,Mountain Home,AR,72653,E,,Public - Call ahead,,,,,,,,,,200-8,36.3218571,-92.3838926,,,FALSE,,
20,BD,East Side Travel Plaza,607 Gateway Dr,East Grand Forks,MN,56721,E,,Public,"B20 in summer, B5",,,,,,,,,200-8,47.9375198,-97.0145484,,,,,
21,ELEC,AAA AUTO CLUB S,783 S Orlando Ave,Winter Park,FL,32789,E,,Public,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,28.5909042,-81.3660965,,,,,NEMA520 J1772
22,CNG,Greater Richmond Transit Co,301 E Belt Blvd,Richmond,VA,23224,P,3/20/14,PLANNED - not yet accessible (Private - Fleet customers only),,Q,3600,,,,,,,200-8,37.506731,-77.47908,,HD,,,
23,ELEC,Ehrlich Nissan,2625 25th Ave,Greeley,CO,80634,E,,Public - Call ahead,,,,,1,1,,,,200-8,40.3946842,-104.7220636,,,,,J1772 CHADEMO
24,BD,City of Hoover,2020 Valleydale Rd,Hoover,AL,35244,E,,Private - Government only,B20 in summer,,,,,,,,,200-8,33.3491506,-86.7928979,,,,,
25,ELEC,Outpost Solar - Mines Road,1905 Mines Road,Pulaski,TN,38478,E,,Public,,,,,10,,,Blink Network,http://www.blinknetwork.com/,GPS,35.210144,-87.054365,,,,,J1772
26,CNG,SDG&E - Northern (Carlsbad),602 Cannon Rd,Carlsbad,CA,92008,E,,Public - Credit card at all times,,Q,3000 3600,,,,,,,200-8,33.1336848,-117.3321232,,LD,,,
27,ELEC,CITYZEPHYRHILLS,5335 Eighth St,Zephyrhills,FL,33542,E,,Public,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,28.2352886,-82.1812439,,,,,NEMA520 J1772
28,ELEC,Atlantic Nissan,205 Sunrise Hwy,West Islip,NY,11795,E,,Private,,,,,1,,,,,200-8,40.720647,-73.304128,,,,,J1772
29,LPG,U-Haul,157 E 3rd St,Williamsport,PA,17701,E,,Public - Call ahead,,,,,,,,,,200-8,41.242703,-76.998402,,,TRUE,,
30,ELEC,Dan Wilder Nissan,97 Deer Park Rd,Port Angeles,WA,98362,E,,Private,,,,,1,,,,,200-8,48.102884,-123.342597,,,,,J1772
31,LPG,Sierra Propane,447 E Main St,Springerville,AZ,85938,E,,Public,,,,,,,,,,200-8,34.1328336,-109.2809265,,,FALSE,,
32,ELEC,Port of San Diego-Imperial Beach Parking Lot,"3165 Pacific Highway, Palm Avenue & Seacoast Drive",Imperial Beach,CA,91932,E,,Public,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,32.5839,-117.131718,,,,,J1772
33,E85,Western Convenience Store,2387 W 72nd Ave,Denver,CO,80221,E,,Public,,,,,,,,,,200-8,39.8276368,-105.0152257,,,,FALSE,
34,E85,Kroger #587,3939 Frankford Rd,Dallas,TX,75287,E,,Public - Credit card after hours,,,,,,,,,,200-8,32.9982319,-96.8460873,,,,FALSE,
35,ELEC,THE BOEING CO,2060 E.Imperial Highway,El Segundo,CA,90245,E,,Public,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,33.9283012,-118.3896499,,,,,J1772
36,ELEC,Kroger Store #518,5665 E. Mockingbird,Dallas,TX,75206,E,,Public,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,32.837337,-96.770536,,,,,J1772
37,E85,Citgo Smartshop,323 Sagamore Pkwy,Lafayette,IN,47904,E,,Public,,,,,,,,,,200-8,40.420134,-86.857658,,,,FALSE,
38,E85,Mobil On the Run,1710 N Bishop Ave,Rolla,MO,65401,E,,Public,,,,,,,,,,200-8,37.9581251,-91.7733379,,,,FALSE,
39,E85,Stop & Shop,312 1st Ave,Shakopee,MN,55379,E,,Public - Credit card after hours,,,,,,,,,,200-8,44.7981513,-93.5300144,,,,FALSE,
40,ELEC,15 LLC,"3575 Piedmont Road, Building 15",Atlanta,GA,30305,E,,Public,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,33.852522,-84.380658,,,,,J1772
41,ELEC,Waikiki Sand Villa,2375 Ala Wai Blvd,Honolulu,HI,96815,E,,Public,,,,,1,,,,,200-8,21.278842,-157.823158,,,,,J1772
